Title,Genre,Description,Year,Rating,Votes,Metascore
Ah-ga-ssi,"Drama,Mystery,Romance","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",2016,8.1,33418,84.0
The Edge of Seventeen,"Comedy,Drama","High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",2016,7.4,47694,77.0
Watchmen,"Action,Drama,Mystery","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",2009,7.6,410249,56.0
Superbad,Comedy,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,2007,7.6,442082,76.0
Inferno,"Action,Adventure,Crime","When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.",2016,6.2,97623,42.0
The BFG,"Adventure,Family,Fantasy","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",2016,6.4,50853,66.0
The Hunger Games,"Adventure,Sci-Fi,Thriller",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,2012,7.2,735604,68.0
White Girl,Drama,"Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.",2016,5.8,4299,65.0
Sicario,"Action,Crime,Drama",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,2015,7.6,243230,82.0
Aliens vs Predator - Requiem,"Action,Horror,Sci-Fi","Warring alien and predator races descend on a rural US town, where unsuspecting residents must band together for any chance of survival.",2007,4.7,97618,29.0
Pacific Rim,"Action,Adventure,Sci-Fi","As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",2013,7.0,400519,64.0
"Crazy, Stupid, Love.","Comedy,Drama,Romance","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",2011,7.4,396714,68.0
Scott Pilgrim vs. the World,"Action,Comedy,Fantasy",Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,2010,7.5,291457,69.0
Hot Fuzz,"Action,Comedy,Mystery","Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner. While on the beat, Nicholas suspects a sinister conspiracy is afoot with the residents.",2007,7.9,373244,81.0
Free Fire,"Action,Comedy,Crime","Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival.",2016,7.0,6946,63.0
X-Men: Days of Future Past,"Action,Adventure,Sci-Fi",The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,2014,8.0,552298,74.0
Jack Reacher: Never Go Back,"Action,Adventure,Crime","Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.",2016,6.1,78043,47.0
